iter	Passed	Remaining
243	3394	10518
244	3405	10494
245	3419	10481
246	3429	10454
247	3439	10429
248	3453	10416
249	3463	10391
250	3478	10378
251	3490	10361
252	3508	10358
253	3522	10346
254	3535	10330
255	3547	10310
256	3560	10293
257	3575	10283
258	3600	10300
259	3617	10296
260	3628	10274
261	3641	10256
262	3655	10242
263	3666	10222
264	3682	10213
265	3700	10211
266	3711	10188
267	3723	10170
268	3737	10156
269	3753	10148
270	3766	10131
271	3779	10116
272	3791	10096
273	3803	10076
274	3814	10057
275	3826	10036
276	3837	10017
277	3847	9993
278	3860	9975
279	3871	9955
280	3883	9938
281	3899	9929
282	3913	9914
283	3925	9895
284	3942	9890
285	3955	9874
286	3966	9854
287	3982	9845
288	3996	9832
289	4009	9816
290	4021	9798
291	4043	9805
292	4057	9791
293	4071	9776
294	4083	9757
295	4094	9738
296	4107	9722
297	4120	9707
298	4133	9689
299	4146	9675
300	4159	9659
301	4171	9641
302	4183	9624
303	4197	9610
304	4209	9591
305	4220	9571
306	4237	9565
307	4254	9559
308	4267	9543
309	4280	9527
310	4296	9519
311	4309	9502
312	4323	9489
313	4335	9471
314	4348	9456
315	4363	9444
316	4374	9425
317	4384	9403
318	4397	9387
319	4409	9370
320	4424	9358
321	4435	9338
322	4447	9321
323	4460	9307
324	4471	9286
325	4482	9266
326	4495	9252
327	4507	9235
328	4518	9215
329	4534	9206
330	4550	9196
331	4563	9181
332	4577	9168
333	4594	9161
334	4613	9158
335	4626	9142
336	4638	9124
337	4648	9105
338	4661	9088
339	4674	9073
340	4689	9062
341	4704	9051
342	4717	9035
343	4729	9018
344	4743	9005
345	4758	8993
346	4768	8973
347	4781	8957
348	4793	8942
349	4809	8931
350	4824	8919
351	4834	8899
352	4848	8886
353	4861	8870
354	4875	8858
355	4887	8840
356	4897	8821
357	4911	8807
358	4925	8793
359	4940	8783
360	4955	8771
361	4970	8760
362	4983	8745
363	4994	8727
364	5007	8711
365	5018	8694
366	5033	8681
367	5044	8663
368	5059	8651
369	5071	8636
370	5084	8621
371	5101	8611
372	5113	8595
373	5127	8581
374	5142	8570
375	5160	8563
376	5172	8547
377	5184	8531
378	5194	8511
379	5206	8494
380	5223	8486
381	5239	8475
382	5254	8464
383	5272	8457
384	5286	8445
385	5299	8429
386	5310	8411
387	5321	8393
388	5333	8377
389	5343	8357
390	5354	8339
391	5367	8324
392	5381	8311
393	5394	8296
394	5404	8277
395	5419	8266
396	5440	8263
397	5451	8246
398	5464	8230
399	5477	8216
400	5491	8202
401	5506	8191
402	5522	8180
403	5534	8164
404	5544	8145
405	5555	8127
406	5566	8110
